GEO_ID,S1901_C01_012E
1400000US06037216700,111645
1400000US06037216800,128059
1400000US06037216901,106579
1400000US06037216902,82986
1400000US06037217001,126250
1400000US06037217002,104095
1400000US06037217101,126250
1400000US06037217102,106587
1400000US06037217200,79338
1400000US06037218110,48264
1400000US06037218120,46586
1400000US06037218210,58326
1400000US06037218220,71964
1400000US06037218300,64234
1400000US06037218400,98281
1400000US06037218500,76481
1400000US06037218600,77554
1400000US06037218701,57705
1400000US06037218702,61856
1400000US06037218800,52667
1400000US06037218900,62128
1400000US06037219010,91518
1400000US06037219020,64180
1400000US06037219300,62188
1400000US06037219500,105625
1400000US06037219700,72685
1400000US06037219800,69536
1400000US06037219901,68544
1400000US06037219902,104890
1400000US06037220000,53500
1400000US06037220100,66821
1400000US06037221110,46234
1400000US06037221120,47368
1400000US06037221210,68388
1400000US06037221220,52431
1400000US06037221302,37285
1400000US06037221303,52560
1400000US06037221304,54620
1400000US06037221401,54196
1400000US06037221402,52313
1400000US06037221500,41908
1400000US06037221601,58125
1400000US06037221602,51821
1400000US06037221710,49848
1400000US06037221810,31815
1400000US06037221820,26236
1400000US06037221900,26421
1400000US06037222001,72269
1400000US06037222002,70127
1400000US06037222100,63458
1400000US06037222200,59907
1400000US06037222500,72316
1400000US06037222600,52054
1400000US06037222700,51250
1400000US06037224010,37647
1400000US06037224020,30647
1400000US06037224200,54032
1400000US06037224310,62632
1400000US06037224320,35375
1400000US06037224410,33214
1400000US06037224420,25725
1400000US06037224600,51765
1400000US06037224701,38098
1400000US06037224702,11270
1400000US06037226001,34318
1400000US06037226002,51917
1400000US06037226410,41563
1400000US06037226420,45840
1400000US06037226701,51667
1400000US06037226702,66732
1400000US06037227010,50410
1400000US06037227020,70575
1400000US06037228100,49291
1400000US06037228210,47500
1400000US06037228220,47269
1400000US06037228310,43676
1400000US06037228320,54375
1400000US06037228410,49153
1400000US06037228420,78750
1400000US06037228500,43194
1400000US06037228600,52083
1400000US06037228710,69333
1400000US06037228720,58680
1400000US06037228800,56282
1400000US06037228900,36923
1400000US06037229100,58906
1400000US06037229200,48140
1400000US06037229300,57013
1400000US06037229410,62907
1400000US06037229420,61528
1400000US06037231100,46806
1400000US06037231210,45560
1400000US06037231220,35319
1400000US06037231301,54464
1400000US06037231302,59003
1400000US06037231400,54872
1400000US06037231500,90375
1400000US06037231601,78777
1400000US06037231602,75588
1400000US06037231603,64423
1400000US06037231710,43750
1400000US06037231720,47589
1400000US06037231800,56623
1400000US06037231901,88702
1400000US06037231902,34279
1400000US06037232110,56989
1400000US06037232120,57226
1400000US06037232200,72742
1400000US06037232300,80644
1400000US06037232401,65125
1400000US06037232402,53821
1400000US06037232500,71045
1400000US06037232601,60962
1400000US06037232602,71799
1400000US06037232701,78438
1400000US06037232702,70263
1400000US06037232800,55625
1400000US06037234001,84271
1400000US06037234002,70299
1400000US06037234200,84194
1400000US06037234301,37255
1400000US06037234302,46773
1400000US06037234501,76250
1400000US06037234502,28578
1400000US06037234600,67882
1400000US06037234700,90893
1400000US06037234800,71397
1400000US06037234901,46939
1400000US06037234902,28415
1400000US06037235100,95958
1400000US06037235201,63662
1400000US06037235202,32475
1400000US06037236001,126029
1400000US06037236101,38606
1400000US06037236102,60057
1400000US06037236203,33526
1400000US06037236204,48145
1400000US06037236205,32115
1400000US06037236206,64259
1400000US06037236400,106107
1400000US06037237101,57708
1400000US06037237102,49063
1400000US06037237201,60714
1400000US06037237202,50904
1400000US06037237300,91250
1400000US06037237401,70357
1400000US06037237402,81806
1400000US06037237500,41087
1400000US06037237600,49799
1400000US06037237710,46909
1400000US06037237720,52143
1400000US06037237800,57188
1400000US06037237900,61811
1400000US06037238000,60625
1400000US06037238100,66230
1400000US06037238200,49351
1400000US06037238310,57163
1400000US06037238320,27895
1400000US06037238400,74250
1400000US06037239201,46327
1400000US06037239202,52434
1400000US06037239310,52606
1400000US06037239320,53542
1400000US06037239330,64615
1400000US06037239501,62174
1400000US06037239502,60350
1400000US06037239601,60139
1400000US06037239602,52679
1400000US06037239701,36131
1400000US06037239702,70034
1400000US06037239801,67724
1400000US06037239802,55924
1400000US06037240010,37292
1400000US06037240020,58030
1400000US06037240200,52428
1400000US06037240301,60703
1400000US06037240302,47578
1400000US06037240401,39280
1400000US06037240402,72813
1400000US06037240500,60982
1400000US06037240600,62796
1400000US06037240700,59107
1400000US06037240800,65852
1400000US06037240901,47837
1400000US06037240902,44107
1400000US06037241001,90517
1400000US06037241002,60938
1400000US06037241110,72717
1400000US06037241120,43173
1400000US06037241201,60122
1400000US06037241202,49036
1400000US06037241300,55208
1400000US06037241400,73583
1400000US06037242000,51840
1400000US06037242100,29935
1400000US06037242201,62745
1400000US06037242202,44355
1400000US06037242300,53062
1400000US06037242600,19955
1400000US06037242700,51170
1400000US06037243001,72583
1400000US06037243002,78029
1400000US06037243100,31765
1400000US06037261102,"250,000+"
1400000US06037261103,230602
1400000US06037261104,186765
1400000US06037261200,194917
1400000US06037262100,238250
1400000US06037262200,192588
1400000US06037262301,"250,000+"
1400000US06037262302,191316
1400000US06037262303,244450
1400000US06037262400,"250,000+"
1400000US06037262501,"250,000+"
1400000US06037262601,"250,000+"
1400000US06037262604,159079
1400000US06037262704,159219
1400000US06037262706,163643
1400000US06037262802,159353
1400000US06037264000,205227
1400000US06037264102,167188
1400000US06037264103,151563
1400000US06037264303,152944
1400000US06037264304,125320
1400000US06037264305,130656
1400000US06037264306,127781
1400000US06037265100,116016
1400000US06037265201,148517
1400000US06037265203,146146
1400000US06037265204,117829
1400000US06037265301,-
1400000US06037265303,33798
1400000US06037265304,18366
1400000US06037265306,31757
1400000US06037265307,27152
1400000US06037265410,212625
1400000US06037265420,"250,000+"
1400000US06037265521,83866
1400000US06037265522,99141
1400000US06037265523,74226
1400000US06037265524,118005
1400000US06037265601,101389
1400000US06037265602,98272
1400000US06037265701,152250
1400000US06037265702,100547
1400000US06037267101,125703
1400000US06037267102,136677
1400000US06037267201,109722
1400000US06037267202,117933
1400000US06037267300,139609
1400000US06037267403,93094
1400000US06037267404,78606
1400000US06037267405,104344
1400000US06037267406,91008
1400000US06037267502,89408
1400000US06037267503,136038
1400000US06037267504,99485
1400000US06037267600,82500
1400000US06037267700,127722
1400000US06037267800,117738
1400000US06037267901,135533
1400000US06037267902,146534
1400000US06037269000,177750
1400000US06037269100,95484
1400000US06037269300,230893
1400000US06037269500,"250,000+"
1400000US06037269601,53185
1400000US06037269602,91212
1400000US06037269700,122237
1400000US06037269800,112708
1400000US06037269903,92861
1400000US06037269905,109186
1400000US06037269906,123720
1400000US06037269907,98229
1400000US06037269908,83562
1400000US06037269909,102508
1400000US06037270101,106429
